time[s],deltaTime[s],rainfall[m],totalWaterLevel[m],surfaceFlow[m3/s],surfaceVolRunoff[m3]
615.2166,2.1949,0.000304847,0.011031916,0.029107803,0.063888717
617.4115,2.1949,0.000304847,0.01103194,0.029107912,0.063888955
619.6064,2.1949,0.000304847,0.011031963,0.02910802,0.063889192
621.8013,2.1949,0.000304847,0.011031986,0.029108127,0.063889428
623.9962,2.1949,0.000304847,0.01103201,0.029108234,0.063889662
626.1911,2.1949,0.000304847,0.011032033,0.02910834,0.063889895
628.386,2.1949,0.000304847,0.011032056,0.029108445,0.063890126
630.5809,2.1949,0.000304847,0.011032079,0.02910855,0.063890357
632.7758,2.1949,0.000304847,0.011032101,0.029108654,0.063890586
634.9707,2.1949,0.000304847,0.011032124,0.029108758,0.063890814
637.1656,2.1949,0.000304847,0.011032146,0.029108861,0.06389104
639.3605,2.1949,0.000304847,0.011032169,0.029108964,0.063891265
641.5554,2.1949,0.000304847,0.011032191,0.029109066,0.06389149
643.7503,2.1949,0.000304847,0.011032213,0.029109168,0.063891712
645.9452,2.1949,0.000304847,0.011032235,0.029109269,0.063891934
648.1401,2.1949,0.000304847,0.011032257,0.029109369,0.063892155
650.335,2.1949,0.000304847,0.011032279,0.029109469,0.063892374
652.5299,2.1949,0.000304847,0.0110323,0.029109569,0.063892592
654.7248,2.1949,0.000304847,0.011032322,0.029109667,0.063892809
656.9197,2.1949,0.000304847,0.011032343,0.029109766,0.063893025
659.1146,2.1949,0.000304847,0.011032365,0.029109864,0.06389324
661.3095,2.1949,0.000304847,0.011032386,0.029109961,0.063893453
663.5044,2.1949,0.000304847,0.011032407,0.029110058,0.063893666
665.6993,2.1949,0.000304847,0.011032428,0.029110154,0.063893877
667.8942,2.1949,0.000304847,0.011032449,0.02911025,0.063894087
670.0891,2.1949,0.000304847,0.011032469,0.029110345,0.063894297
672.284,2.1949,0.000304847,0.01103249,0.02911044,0.063894505
674.4789,2.1949,0.000304847,0.011032511,0.029110534,0.063894712
676.6738,2.1949,0.000304847,0.011032531,0.029110628,0.063894918
678.8687,2.1949,0.000304847,0.011032551,0.029110721,0.063895122
681.0636,2.1949,0.000304847,0.011032572,0.029110814,0.063895326
683.2585,2.1949,0.000304847,0.011032592,0.029110907,0.063895529
685.4534,2.1949,0.000304847,0.011032612,0.029110999,0.063895731
687.6483,2.1949,0.000304847,0.011032632,0.02911109,0.063895932
689.8432,2.1949,0.000304847,0.011032652,0.029111181,0.063896132
692.0381,2.1949,0.000304847,0.011032671,0.029111272,0.06389633
694.233,2.1949,0.000304847,0.011032691,0.029111362,0.063896528
696.4279,2.1949,0.000304847,0.011032711,0.029111452,0.063896725
698.6228,2.1949,0.000304847,0.01103273,0.029111541,0.063896921
700.8177,2.1949,0.000304847,0.011032749,0.029111629,0.063897116
703.0126,2.1949,0.000304847,0.011032769,0.029111718,0.063897309
705.2075,2.1949,0.000304847,0.011032788,0.029111806,0.063897502
707.4024,2.1949,0.000304847,0.011032807,0.029111893,0.063897694
709.5973,2.1949,0.000304847,0.011032826,0.02911198,0.063897885
711.7922,2.1949,0.000304847,0.011032845,0.029112067,0.063898076
713.9871,2.1949,0.000304847,0.011032863,0.029112153,0.063898265
716.182,2.1949,0.000304847,0.011032882,0.029112239,0.063898453
718.3769,2.1949,0.000304847,0.011032901,0.029112324,0.063898641
720.5718,2.1949,0.000304847,0.011032919,0.029112409,0.063898827
722.7667,2.1949,0.000304847,0.011032938,0.029112494,0.063899013
724.9616,2.1949,0.000304847,0.011032956,0.029112578,0.063899197
727.1565,2.1949,0.000304847,0.011032974,0.029112662,0.063899381
729.3514,2.1949,0.000304847,0.011032992,0.029112745,0.063899564
731.5463,2.1949,0.000304847,0.01103301,0.029112828,0.063899746
733.7412,2.1949,0.000304847,0.011033028,0.029112911,0.063899928
735.9361,2.1949,0.000304847,0.011033046,0.029112993,0.063900108
738.131,2.1949,0.000304847,0.011033064,0.029113075,0.063900287
740.3259,2.1949,0.000304847,0.011033082,0.029113156,0.063900466
742.5208,2.1949,0.000304847,0.0110331,0.029113237,0.063900644
744.7157,2.1949,0.000304847,0.011033117,0.029113318,0.063900821
746.9106,2.1949,0.000304847,0.011033135,0.029113398,0.063900997
749.1055,2.1949,0.000304847,0.011033152,0.029113478,0.063901173
751.3004,2.1949,0.000304847,0.011033169,0.029113558,0.063901347
753.4953,2.1949,0.000304847,0.011033187,0.029113637,0.063901521
755.6902,2.1949,0.000304847,0.011033204,0.029113716,0.063901694
757.8851,2.1949,0.000304847,0.011033221,0.029113794,0.063901867
760.08,2.1949,0.000304847,0.011033238,0.029113872,0.063902038
762.2749,2.1949,0.000304847,0.011033255,0.02911395,0.063902209
764.4698,2.1949,0.000304847,0.011033272,0.029114027,0.063902379
766.6647,2.1949,0.000304847,0.011033289,0.029114104,0.063902548
768.8596,2.1949,0.000304847,0.011033305,0.029114181,0.063902716
771.0545,2.1949,0.000304847,0.011033322,0.029114258,0.063902884
773.2494,2.1949,0.000304847,0.011033339,0.029114334,0.063903051
775.4443,2.1949,0.000304847,0.011033355,0.029114409,0.063903217
777.6392,2.1949,0.000304847,0.011033371,0.029114485,0.063903382
779.8341,2.1949,0.000304847,0.011033388,0.02911456,0.063903547
782.029,2.1949,0.000304847,0.011033404,0.029114634,0.063903711
784.2239,2.1949,0.000304847,0.01103342,0.029114709,0.063903874
786.4188,2.1949,0.000304847,0.011033436,0.029114783,0.063904037
788.6137,2.1949,0.000304847,0.011033453,0.029114857,0.063904199
790.8086,2.1949,0.000304847,0.011033469,0.02911493,0.06390436
793.0035,2.1949,0.000304847,0.011033484,0.029115003,0.06390452
795.1984,2.1949,0.000304847,0.0110335,0.029115076,0.06390468
797.3933,2.1949,0.000304847,0.011033516,0.029115148,0.063904839
799.5882,2.1949,0.000304847,0.011033532,0.02911522,0.063904997
801.7831,2.1949,0.000304847,0.011033548,0.029115292,0.063905155
803.978,2.1949,0.000304847,0.011033563,0.029115364,0.063905312
806.1729,2.1949,0.000304847,0.011033579,0.029115435,0.063905468
808.3678,2.1949,0.000304847,0.011033594,0.029115506,0.063905624
810.5627,2.1949,0.000304847,0.01103361,0.029115577,0.063905779
812.7576,2.1949,0.000304847,0.011033625,0.029115647,0.063905933
814.9525,2.1949,0.000304847,0.01103364,0.029115717,0.063906087
817.1474,2.1949,0.000304847,0.011033655,0.029115787,0.06390624
819.3423,2.1949,0.000304847,0.01103367,0.029115856,0.063906392
821.5372,2.1949,0.000304847,0.011033686,0.029115925,0.063906544
823.7321,2.1949,0.000304847,0.011033701,0.029115994,0.063906695
825.927,2.1949,0.000304847,0.011033715,0.029116063,0.063906846
828.1219,2.1949,0.000304847,0.01103373,0.029116131,0.063906996
830.3168,2.1949,0.000304847,0.011033745,0.029116199,0.063907145
832.5117,2.1949,0.000304847,0.01103376,0.029116267,0.063907294
834.7066,2.1949,0.000304847,0.011033775,0.029116334,0.063907442
836.9015,2.1949,0.000304847,0.011033789,0.029116401,0.063907589
839.0964,2.1949,0.000304847,0.011033804,0.029116468,0.063907736
841.2913,2.1949,0.000304847,0.011033818,0.029116535,0.063907882
843.4862,2.1949,0.000304847,0.011033833,0.029116601,0.063908028
