# Hydrograph at the point with coordinates: 49.7886753832 39.0876810083
# A pixel size is [m2]:
# 1.0
# Time[s];deltaTime[s];Rainfall[m];Waterlevel[m];V_runoff[m3];Q[m3/s];V_from_field[m3];V_rests_in_stream[m3]
747.5315;0.9206;2.3015e-05;0.00964319727071;0.00300870984484;0.00326820534959;6.66704660319e-05;0.104681911427
748.4441;0.9166;2.2915e-05;0.0097036737864;0.0030271140945;0.00330254647011;6.64203208454e-05;0.105376486988
749.3531;0.9128;2.282e-05;0.0097643901881;0.0030461691074;0.00333717036306;6.61840857382e-05;0.106073059305
750.2583;0.909;2.2725e-05;0.00982530689749;0.00306519807482;0.00337205508781;6.59472809704e-05;0.106772223452
751.1599;0.9053;2.26325e-05;0.00988642486677;0.0030845406149;0.0034072027117;6.57171742889e-05;0.107473464703
752.0578;0.9016;2.254e-05;0.00994771504077;0.0031038456792;0.00344259724844;6.54865191931e-05;0.108176985647
752.9522;0.898;2.245e-05;0.0100091779861;0.00312345983674;0.00347824035272;6.52625915429e-05;0.108882259939
753.8432;0.8945;2.23625e-05;0.0100708033916;0.00314338659234;0.00351412698976;6.50454119847e-05;0.109589165742
754.7307;0.891;2.2275e-05;0.0101325624509;0.00316326457077;0.00355024082017;6.48277209187e-05;0.110297917911
755.6149;0.8876;2.219e-05;0.0101944561767;0.00318345151466;0.00358658350006;6.46168061334e-05;0.111007983932
756.4957;0.8842;2.2105e-05;0.0102564563726;0.00320357924199;0.0036231387039;6.44053994868e-05;0.11171959193
757.3733;0.8809;2.20225e-05;0.010318564711;0.00322401321812;0.0036599082962;6.42007966636e-05;0.112432209228
758.2476;0.8776;2.194e-05;0.0103807538395;0.00324437848243;0.00369687611945;6.39957210864e-05;0.113146079949
759.1188;0.8744;2.186e-05;0.0104430262796;0.00326504840347;0.00373404437726;6.37974762524e-05;0.113860673317
759.9868;0.8712;2.178e-05;0.0105053556625;0.00328564122752;0.00377139718494;6.3598777252e-05;0.114576251134
760.8518;0.8681;2.17025e-05;0.0105677454694;0.00330653836067;0.00380893717391;6.34069353139e-05;0.115292285718
761.7137;0.865;2.1625e-05;0.0106301703902;0.00332735121376;0.00384664880203;6.32146572967e-05;0.116009057506
762.5725;0.8619;2.15475e-05;0.0106926161875;0.00334807071797;0.00388452339943;6.30219461803e-05;0.116726408999
763.4286;0.859;2.1475e-05;0.0107551065814;0.00336949289798;0.00392257613268;6.2843444492e-05;0.117443447643
764.2816;0.856;2.14e-05;0.0108175886941;0.00339042208359;0.00396077346213;6.26572151598e-05;0.11816131186
765.1318;0.8531;2.13275e-05;0.01088007903;0.00341165441373;0.00399912602712;6.24779004419e-05;0.118879024185
765.9793;0.8503;2.12575e-05;0.0109425737152;0.00343319784829;0.00403763124578;6.2305518412e-05;0.119596531472
766.824;0.8475;2.11875e-05;0.0110050507041;0.00345464290806;0.00407627481777;6.21327518059e-05;0.120314171725
767.6659;0.8447;2.11175e-05;0.0110674988529;0.00347598224978;0.00411504942558;6.195960311e-05;0.121031821123
768.5052;0.842;2.105e-05;0.0111299262319;0.00349763438466;0.00415396007679;6.1793417459e-05;0.121748968578
769.342;0.8394;2.0985e-05;0.0111923310729;0.00351960862796;0.00419300527515;6.16342123016e-05;0.122465583955
770.1762;0.8368;2.092e-05;0.0112546933945;0.00354148120491;0.00423217161199;6.14746547412e-05;0.123182042889
771.008;0.8343;2.08575e-05;0.0113170227369;0.00356368325314;0.00427146500436;6.13221008183e-05;0.123897839114
771.8373;0.8318;2.0795e-05;0.011379300088;0.00358578373533;0.00431087248778;6.11692099466e-05;0.124613366522
772.6645;0.8295;2.07375e-05;0.0114415546396;0.00360866752211;0.00435041292599;6.10307066139e-05;0.125327709864
773.4894;0.8272;2.068e-05;0.0115037580729;0.00363146338169;0.00439006695079;6.08918923956e-05;0.126041780324
774.312;0.8249;2.06225e-05;0.0115659029984;0.00365416612986;0.00442982922761;6.07527691068e-05;0.126755495423
775.1327;0.8228;2.057e-05;0.0116280199044;0.00367768532615;0.00446971964773;6.06280828443e-05;0.12746793119
775.9513;0.8207;2.05175e-05;0.011690081816;0.00370112676101;0.00450971946022;6.05031127919e-05;0.128180036823
776.768;0.8187;2.04675e-05;0.0117521013032;0.00372495127756;0.0045498366649;6.03852398891e-05;0.128891312691
777.5831;0.8169;2.04225e-05;0.0118140998751;0.00374964061043;0.00459008521292;6.02818629836e-05;0.129601344222
778.3964;0.8151;2.03775e-05;0.0118760517956;0.00377427735548;0.00463044700709;6.01782390985e-05;0.13031111777
779.2079;0.8133;2.03325e-05;0.0119379520173;0.0037988577668;0.00467091819353;6.00743695189e-05;0.131020576947
780.018;0.8117;2.02925e-05;0.0119998333039;0.0038243413513;0.00471152069891;5.99850427259e-05;0.131728776348
780.8265;0.8101;2.02525e-05;0.0120616710223;0.00384978717108;0.00475223697208;5.98954939688e-05;0.132436738194
781.6338;0.8087;2.02175e-05;0.0121234986082;0.00387617157044;0.00479308961351;5.98205256395e-05;0.133143508816
782.4397;0.8073;2.01825e-05;0.0121852921166;0.00390253782043;0.00483406146467;5.9745358573e-05;0.133850133989
783.2444;0.806;2.015e-05;0.01224706687;0.00392938121031;0.00487516279195;5.96774013462e-05;0.13455611339
784.0478;0.8047;2.01175e-05;0.0123088096557;0.00395621414503;0.00491638392573;5.96092576903e-05;0.135261964072
784.8501;0.8035;2.00875e-05;0.012370536381;0.0039835405724;0.00495773562215;5.95483430515e-05;0.135967184255
785.6514;0.8024;2.006e-05;0.0124322531648;0.00401137548961;0.00499922169692;5.94946721179e-05;0.136671831399
786.4516;0.8013;2.00325e-05;0.0124939476787;0.00403921951598;0.00504083304128;5.94408379558e-05;0.137376444551
787.2509;0.8003;2.00075e-05;0.0125556366687;0.00406758971318;0.00508258117354;5.93942662114e-05;0.138080519264
788.0494;0.7994;1.9985e-05;0.0126173271012;0.0040965018014;0.00512447060471;5.93549713037e-05;0.138784122507
788.8468;0.7984;1.996e-05;0.0126789887378;0.0041249171999;0.0051664794588;5.93081039542e-05;0.139488305368
789.6436;0.7976;1.994e-05;0.0127406678783;0.00415441176978;0.00520864063413;5.92759567018e-05;0.14019148458
790.4394;0.7967;1.99175e-05;0.0128023247893;0.00418341207831;0.0052509251642;5.92362415629e-05;0.14089531855
791.2345;0.7959;1.98975e-05;0.0128639875214;0.00421297973905;0.00529335310849;5.92038294662e-05;0.141598707735
